"ID","Q41","Q42","Q43","Q44","Q45","Q46","Q47"
1854,0,0,0,0,1,0,0
1855,0,0,1,0,0,0,0
1857,0,0,1,0,0,0,0
1858,0,0,0,1,0,0,0
1859,0,1,0,0,0,0,0
1860,0,0,0,1,0,0,0
1865,0,0,0,1,0,0,0
1866,0,0,0,0,1,0,0
1867,0,0,0,1,0,0,0
1869,0,0,1,0,0,0,0
1870,0,0,0,1,1,0,0
1871,0,0,1,0,0,0,0
1872,0,0,0,1,0,0,0
1874,0,0,1,0,0,0,0
1875,0,0,0,0,1,0,0
1876,0,0,1,0,0,0,0
1877,0,0,0,1,0,0,0
1878,0,0,0,0,1,0,0
1879,0,0,1,0,0,0,0
1880,0,0,0,0,1,0,0
1883,0,0,0,0,1,0,0
1885,0,0,0,1,1,0,0
1886,0,0,0,1,0,0,0
1887,0,0,0,1,0,0,0
1888,0,0,0,1,1,0,0
1889,0,0,0,1,0,0,0
1890,0,0,0,1,1,0,0
1891,0,0,0,1,0,0,0
1892,0,0,0,1,1,0,0
1893,0,0,1,0,0,0,0
1894,0,0,0,1,0,0,0
1895,0,0,0,1,1,0,0
1896,0,0,0,1,1,0,0
1897,0,0,1,0,0,0,0
1903,0,0,0,1,0,0,0
1904,0,0,1,0,0,0,0
1905,0,0,1,0,0,0,0
1906,0,0,1,1,0,0,0
1908,0,0,1,0,0,0,0
1909,0,0,1,0,0,0,0
1910,0,0,0,1,0,0,0
1911,0,0,1,0,0,0,0
1912,0,0,0,1,0,0,0
1914,0,0,0,1,0,0,0
1917,0,0,0,1,1,0,0
1918,0,0,1,0,0,0,0
1919,0,0,0,1,0,0,0
1922,0,0,0,1,0,0,0
1925,0,1,0,1,0,0,0
1926,0,0,1,0,0,0,0
1927,0,0,1,0,0,0,0
1931,0,0,0,1,0,0,0
1934,0,0,1,0,0,0,0
1936,0,0,1,0,1,0,0
1938,0,0,0,1,0,0,0
1939,0,0,1,0,0,0,0
1942,0,0,0,1,0,0,0
1944,0,0,1,0,0,0,0
1946,0,0,0,0,1,0,0
1947,0,0,1,0,0,0,0
1949,0,0,0,1,0,0,1
1950,0,0,0,1,1,0,0
1951,0,0,0,1,1,0,0
1952,1,0,0,0,1,0,0
1953,0,0,1,0,0,0,0
1955,0,0,0,0,1,0,0
1956,0,0,1,0,0,0,0
1959,0,0,0,1,0,0,0
1962,0,0,0,1,1,0,0
1967,0,0,0,1,0,0,0
1968,0,0,0,1,0,0,0
1969,0,0,0,1,1,0,0
1970,0,0,1,0,0,0,0
1971,0,0,1,0,0,0,0
1972,0,0,0,1,0,0,0
1975,0,0,1,0,0,0,0
1977,0,0,0,1,1,0,0
1979,0,0,0,1,0,0,0
1980,0,0,0,1,0,0,0
1981,0,0,0,1,0,0,0
1982,0,0,0,1,0,0,0
1983,0,0,0,1,1,0,0
1984,0,0,0,1,0,0,0
1985,0,0,0,1,0,0,0
1986,0,0,0,1,0,0,0
1987,0,0,0,1,0,0,0
1989,0,0,1,0,0,0,0
1990,0,0,1,0,0,0,0
1991,0,0,0,1,0,0,0
1992,0,0,0,1,1,0,0
1993,0,0,0,1,0,0,0
1994,0,0,0,1,0,0,0
1996,0,0,0,1,1,0,0
1997,0,0,1,0,0,0,0
1998,0,0,1,0,0,0,0
2000,0,0,0,1,0,0,0
2001,0,0,0,1,0,0,0
2003,0,0,0,1,0,0,0
2004,0,0,1,0,0,0,0
2008,0,0,0,1,0,0,0
2009,0,0,0,1,0,0,0
2010,0,0,0,0,1,0,0
2011,0,0,0,1,0,0,0
2012,0,0,1,0,0,0,0
2013,0,0,0,1,0,0,0
2014,0,0,1,0,0,0,0
2017,0,0,0,1,0,0,0
2018,0,0,0,1,0,0,0
2019,0,1,0,1,0,0,0
2020,0,0,0,1,1,0,0
2021,0,0,1,0,0,0,0
2022,0,0,0,1,1,0,0
2023,0,0,0,1,0,0,0
2025,0,0,0,1,1,0,0
2026,0,0,0,1,0,0,0
2027,0,0,0,1,0,0,0
2028,0,0,1,0,0,0,0
2029,0,0,1,0,0,0,0
2030,0,0,0,1,0,0,0
2031,0,0,1,0,0,0,0
2032,0,0,0,1,0,0,0
2033,0,0,0,1,0,0,0
2034,0,0,0,1,0,0,0
2035,0,0,0,1,0,0,0
2036,0,0,0,1,0,0,0
2037,0,0,0,1,0,0,0
2038,0,0,1,0,0,0,0
2039,0,0,1,0,0,0,0
2040,0,0,0,1,0,0,0
2041,0,0,1,0,0,0,0
2043,0,0,0,0,1,0,0
2044,0,0,1,0,0,0,0
2045,0,0,0,1,1,0,0
2046,0,0,0,1,0,0,0
2047,0,0,1,0,1,0,0
2048,0,0,0,1,0,0,0
2049,0,0,0,1,0,0,0
2050,0,1,0,1,0,0,0
2055,0,0,0,1,1,0,0
2056,0,0,0,1,0,0,0
2057,0,0,0,1,0,0,0
2058,0,0,0,1,1,0,0
2059,0,0,0,0,1,0,0
2060,0,0,0,1,1,0,0
2061,0,0,1,0,0,0,0
2062,0,0,0,1,0,0,0
2063,0,0,0,1,1,0,0
2064,0,0,1,0,0,0,0
2068,0,0,1,0,0,0,0
2069,0,0,0,1,0,0,0
2070,0,0,1,0,0,0,0
2071,1,0,0,0,0,0,0
2072,0,0,0,0,1,0,0
2073,0,0,0,1,0,0,0
2074,0,0,0,1,0,0,0
2076,0,0,0,1,0,0,0
2077,0,0,0,1,0,0,0
2080,0,0,0,1,0,0,0
2081,0,0,1,0,0,0,0
2084,0,0,0,0,1,0,0
2085,0,0,0,1,0,0,0
2086,0,0,0,1,0,0,0
2087,0,0,1,0,0,0,0
2088,0,0,1,0,0,0,0
2090,0,0,0,1,0,0,0
2091,0,0,0,1,0,0,0
2092,1,0,0,1,1,0,0
2093,0,0,1,0,0,0,0
2095,0,0,0,1,0,0,0
2098,0,0,0,1,0,0,0
2099,0,0,0,1,1,0,0
